date,cpi,neer,m2,ffr,ip,unrate,oil,gs10,baa
1973-01-01,42.700000,128.032885,810.300000,5.940000,43.978300,4.900000,3.560000,6.460000,7.900000
1973-02-01,43.000000,122.775869,814.100000,6.580000,44.610300,5.000000,3.560000,6.640000,7.970000
1973-03-01,43.400000,118.342635,815.300000,7.090000,44.629400,4.900000,3.560000,6.710000,8.030000
1973-04-01,43.700000,119.319080,819.700000,7.120000,44.568000,5.000000,3.560000,6.670000,8.090000
1973-05-01,43.900000,118.413877,826.800000,7.840000,44.860800,4.900000,3.560000,6.850000,8.060000
1973-06-01,44.200000,116.228681,833.300000,8.490000,44.918600,4.900000,3.560000,6.900000,8.130000
1973-07-01,44.200000,113.915792,836.500000,10.400000,45.085000,4.800000,3.560000,7.130000,8.240000
1973-08-01,45.000000,115.617086,838.800000,10.500000,45.022100,4.800000,4.310000,7.400000,8.530000
1973-09-01,45.200000,115.878268,839.300000,10.780000,45.380100,4.800000,4.310000,7.090000,8.630000
1973-10-01,45.600000,115.366555,842.600000,10.010000,45.746200,4.600000,4.310000,6.790000,8.410000
1973-11-01,45.900000,118.812219,848.900000,10.030000,45.954800,4.800000,4.310000,6.730000,8.420000
1973-12-01,46.300000,120.642979,855.500000,9.950000,45.825200,4.900000,4.310000,6.740000,8.480000
1974-01-01,46.800000,125.258697,859.700000,9.650000,45.520700,5.100000,10.110000,6.990000,8.480000
1974-02-01,47.300000,122.587230,864.200000,8.970000,45.382500,5.200000,10.110000,6.960000,8.530000
1974-03-01,47.800000,119.958012,870.100000,9.350000,45.379800,5.100000,10.110000,7.210000,8.620000
1974-04-01,48.100000,118.273405,872.900000,10.510000,45.247000,5.100000,10.110000,7.510000,8.870000
1974-05-01,48.600000,117.232344,874.600000,11.310000,45.608300,5.100000,10.110000,7.580000,9.050000
1974-06-01,49.000000,118.653639,877.800000,11.930000,45.521600,5.400000,10.110000,7.540000,9.270000
1974-07-01,49.300000,119.696356,881.400000,12.920000,45.613600,5.500000,10.110000,7.810000,9.480000
1974-08-01,49.900000,121.820133,884.100000,12.010000,45.130300,5.500000,10.110000,8.040000,9.770000
1974-09-01,50.600000,122.466758,887.900000,11.340000,45.137700,5.900000,10.110000,8.040000,10.180000
1974-10-01,51.000000,121.878713,893.300000,10.060000,44.995000,6.000000,11.160000,7.900000,10.480000
1974-11-01,51.500000,121.215402,898.600000,9.450000,43.514800,6.600000,11.160000,7.680000,10.600000
1974-12-01,51.900000,120.156236,902.100000,8.530000,41.950300,7.200000,11.160000,7.430000,10.630000
1975-01-01,52.300000,118.842751,906.300000,7.130000,41.368900,8.100000,11.160000,7.500000,10.810000
1975-02-01,52.600000,117.403350,914.100000,6.240000,40.425200,8.100000,11.160000,7.390000,10.650000
1975-03-01,52.800000,116.590572,925.000000,5.540000,39.980400,8.600000,11.160000,7.730000,10.480000
1975-04-01,53.000000,118.285949,935.100000,5.490000,40.057200,8.800000,11.160000,8.230000,10.580000
1975-05-01,53.100000,118.509972,947.900000,5.220000,39.940200,9.000000,11.160000,8.060000,10.690000
1975-06-01,53.500000,118.681332,963.000000,5.550000,40.192700,8.800000,11.160000,7.860000,10.620000
1975-07-01,54.000000,121.795873,975.100000,6.100000,40.611500,8.600000,11.160000,8.060000,10.550000
1975-08-01,54.200000,124.058348,983.100000,6.140000,41.011400,8.400000,11.160000,8.400000,10.590000
1975-09-01,54.600000,124.954438,991.500000,6.240000,41.542200,8.400000,11.160000,8.430000,10.610000
1975-10-01,54.900000,124.869231,997.800000,5.820000,41.722400,8.400000,11.160000,8.140000,10.620000
1975-11-01,55.300000,124.591126,1006.900000,5.220000,41.779700,8.300000,11.160000,8.050000,10.560000
1975-12-01,55.600000,125.441418,1016.200000,5.200000,42.346200,8.200000,11.160000,8.000000,10.560000
1976-01-01,55.800000,124.997041,1026.600000,4.870000,42.908200,7.900000,11.160000,7.740000,10.410000
